X0,U01,U02,U03,U04,U05,U06,U07,U08,U09,U10,T,Y
29.31,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,10.0,35.01
29.95,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,1.0,29.95
29.95,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,2.0,30.76
29.95,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,3.0,31.34
29.95,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,4.0,31.95
29.95,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,32.56
29.95,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,6.0,33.14
29.95,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,7.0,33.79
29.95,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,8.0,34.43
29.95,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,9.0,35.01
29.95,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,10.0,35.46
30.76,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,1.0,30.76
30.76,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,2.0,31.34
30.76,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,3.0,31.95
30.76,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,4.0,32.56
30.76,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,33.14
30.76,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,6.0,33.79
30.76,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,7.0,34.43
30.76,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,8.0,35.01
30.76,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,9.0,35.46
30.76,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,10.0,36.04
31.34,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,1.0,31.34
31.34,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,2.0,31.95
31.34,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,3.0,32.56
31.34,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,4.0,33.14
31.34,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,33.79
31.34,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,6.0,34.43
31.34,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,7.0,35.01
31.34,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,8.0,35.46
31.34,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,9.0,36.04
31.34,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,10.0,36.69
31.95,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,1.0,31.95
31.95,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,2.0,32.56
31.95,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,3.0,33.14
31.95,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,4.0,33.79
31.95,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,34.43
31.95,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,6.0,35.01
31.95,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,7.0,35.46
31.95,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,8.0,36.04
31.95,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,9.0,36.69
31.95,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,10.0,37.01
32.56,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,1.0,32.56
32.56,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,2.0,33.14
32.56,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,3.0,33.79
32.56,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,4.0,34.43
32.56,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,35.01
32.56,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,6.0,35.46
32.56,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,7.0,36.04
32.56,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,8.0,36.69
32.56,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,9.0,37.01
32.56,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,10.0,37.66
33.14,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,1.0,33.14
33.14,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,2.0,33.79
33.14,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,3.0,34.43
33.14,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,4.0,35.01
33.14,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,35.46
33.14,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,6.0,36.04
33.14,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,7.0,36.69
33.14,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,8.0,37.01
33.14,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,9.0,37.66
33.14,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,10.0,37.98
33.79,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,1.0,33.79
33.79,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,2.0,34.43
33.79,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,3.0,35.01
33.79,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,4.0,35.46
33.79,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,36.04
33.79,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,6.0,36.69
33.79,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,7.0,37.01
33.79,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,8.0,37.66
33.79,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,9.0,37.98
33.79,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,10.0,38.56
34.43,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,1.0,34.43
34.43,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,2.0,35.01
34.43,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,3.0,35.46
34.43,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,4.0,36.04
34.43,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,36.69
34.43,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,6.0,37.01
34.43,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,7.0,37.66
34.43,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,8.0,37.98
34.43,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,9.0,38.56
34.43,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,10.0,38.95
35.01,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,1.0,35.01
35.01,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,2.0,35.46
35.01,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,3.0,36.04
35.01,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,4.0,36.69
35.01,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,37.01
35.01,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,6.0,37.66
35.01,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,7.0,37.98
35.01,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,8.0,38.56
35.01,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,9.0,38.95
35.01,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,10.0,39.4
35.46,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,1.0,35.46
35.46,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,2.0,36.04
35.46,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,3.0,36.69
35.46,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,4.0,37.01
35.46,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,37.66
35.46,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,6.0,37.98
