X0,U1,U2,U3,U4,T,Y
49.58,50.0,50.0,50.0,50.0,3.0,49.9
49.58,50.0,50.0,50.0,50.0,4.0,49.9
49.71,50.0,50.0,50.0,50.0,1.0,49.71
49.71,50.0,50.0,50.0,50.0,2.0,49.9
49.71,50.0,50.0,50.0,50.0,3.0,49.9
49.71,50.0,50.0,50.0,50.0,4.0,50.0
49.9,50.0,50.0,50.0,50.0,1.0,49.9
49.9,50.0,50.0,50.0,50.0,2.0,49.9
49.9,50.0,50.0,50.0,50.0,3.0,50.0
49.9,50.0,50.0,50.0,50.0,4.0,50.22
49.9,50.0,50.0,50.0,50.0,1.0,49.9
49.9,50.0,50.0,50.0,50.0,2.0,50.0
49.9,50.0,50.0,50.0,50.0,3.0,50.22
49.9,50.0,50.0,50.0,50.0,4.0,50.22
50.0,50.0,50.0,50.0,50.0,1.0,50.0
50.0,50.0,50.0,50.0,50.0,2.0,50.22
50.0,50.0,50.0,50.0,50.0,3.0,50.22
50.0,50.0,50.0,50.0,50.0,4.0,50.29
50.22,50.0,50.0,50.0,50.0,1.0,50.22
50.22,50.0,50.0,50.0,50.0,2.0,50.22
50.22,50.0,50.0,50.0,50.0,3.0,50.29
50.22,50.0,50.0,50.0,50.0,4.0,50.55
50.22,50.0,50.0,50.0,50.0,1.0,50.22
50.22,50.0,50.0,50.0,50.0,2.0,50.29
50.22,50.0,50.0,50.0,50.0,3.0,50.55
50.22,50.0,50.0,50.0,50.0,4.0,50.55
50.29,50.0,50.0,50.0,50.0,1.0,50.29
50.29,50.0,50.0,50.0,50.0,2.0,50.55
50.29,50.0,50.0,50.0,50.0,3.0,50.55
50.29,50.0,50.0,50.0,50.0,4.0,50.55
50.55,50.0,50.0,50.0,50.0,1.0,50.55
50.55,50.0,50.0,50.0,50.0,2.0,50.55
50.55,50.0,50.0,50.0,50.0,3.0,50.55
50.55,50.0,50.0,50.0,50.0,4.0,50.42
50.55,50.0,50.0,50.0,50.0,1.0,50.55
50.55,50.0,50.0,50.0,50.0,2.0,50.55
50.55,50.0,50.0,50.0,50.0,3.0,50.42
50.55,50.0,50.0,50.0,50.0,4.0,50.87
50.55,50.0,50.0,50.0,50.0,1.0,50.55
50.55,50.0,50.0,50.0,50.0,2.0,50.42
50.55,50.0,50.0,50.0,50.0,3.0,50.87
50.55,50.0,50.0,50.0,50.0,4.0,50.87
50.42,50.0,50.0,50.0,50.0,1.0,50.42
50.42,50.0,50.0,50.0,50.0,2.0,50.87
50.42,50.0,50.0,50.0,50.0,3.0,50.87
50.42,50.0,50.0,50.0,50.0,4.0,50.9
50.87,50.0,50.0,50.0,50.0,1.0,50.87
50.87,50.0,50.0,50.0,50.0,2.0,50.87
50.87,50.0,50.0,50.0,50.0,3.0,50.9
50.87,50.0,50.0,50.0,50.0,4.0,51.09
50.87,50.0,50.0,50.0,50.0,1.0,50.87
50.87,50.0,50.0,50.0,50.0,2.0,50.9
50.87,50.0,50.0,50.0,50.0,3.0,51.09
50.87,50.0,50.0,50.0,50.0,4.0,51.19
50.9,50.0,50.0,50.0,50.0,1.0,50.9
50.9,50.0,50.0,50.0,50.0,2.0,51.09
50.9,50.0,50.0,50.0,50.0,3.0,51.19
50.9,50.0,50.0,50.0,50.0,4.0,51.19
51.09,50.0,50.0,50.0,50.0,1.0,51.09
51.09,50.0,50.0,50.0,50.0,2.0,51.19
51.09,50.0,50.0,50.0,50.0,3.0,51.19
51.09,50.0,50.0,50.0,50.0,4.0,51.19
51.19,50.0,50.0,50.0,50.0,1.0,51.19
51.19,50.0,50.0,50.0,50.0,2.0,51.19
51.19,50.0,50.0,50.0,50.0,3.0,51.19
51.19,50.0,50.0,50.0,50.0,4.0,51.42
51.19,50.0,50.0,50.0,50.0,1.0,51.19
51.19,50.0,50.0,50.0,50.0,2.0,51.19
51.19,50.0,50.0,50.0,50.0,3.0,51.42
51.19,50.0,50.0,50.0,50.0,4.0,51.51
51.19,50.0,50.0,50.0,50.0,1.0,51.19
51.19,50.0,50.0,50.0,50.0,2.0,51.42
51.19,50.0,50.0,50.0,50.0,3.0,51.51
51.19,50.0,50.0,50.0,50.0,4.0,51.51
51.42,50.0,50.0,50.0,50.0,1.0,51.42
51.42,50.0,50.0,50.0,50.0,2.0,51.51
51.42,50.0,50.0,50.0,50.0,3.0,51.51
51.42,50.0,50.0,50.0,50.0,4.0,51.55
51.51,50.0,50.0,50.0,50.0,1.0,51.51
51.51,50.0,50.0,50.0,50.0,2.0,51.51
51.51,50.0,50.0,50.0,50.0,3.0,51.55
51.51,50.0,50.0,50.0,50.0,4.0,51.74
51.51,50.0,50.0,50.0,50.0,1.0,51.51
51.51,50.0,50.0,50.0,50.0,2.0,51.55
51.51,50.0,50.0,50.0,50.0,3.0,51.74
51.51,50.0,50.0,50.0,50.0,4.0,51.84
51.55,50.0,50.0,50.0,50.0,1.0,51.55
51.55,50.0,50.0,50.0,50.0,2.0,51.74
51.55,50.0,50.0,50.0,50.0,3.0,51.84
51.55,50.0,50.0,50.0,50.0,4.0,51.84
51.74,50.0,50.0,50.0,50.0,1.0,51.74
51.74,50.0,50.0,50.0,50.0,2.0,51.84
51.74,50.0,50.0,50.0,50.0,3.0,51.84
51.74,50.0,50.0,50.0,50.0,4.0,51.84
51.84,50.0,50.0,50.0,50.0,1.0,51.84
51.84,50.0,50.0,50.0,50.0,2.0,51.84
51.84,50.0,50.0,50.0,50.0,3.0,51.84
51.84,50.0,50.0,50.0,50.0,4.0,51.9
51.84,50.0,50.0,50.0,50.0,1.0,51.84
51.84,50.0,50.0,50.0,50.0,2.0,51.84
51.84,50.0,50.0,50.0,50.0,3.0,51.9
51.84,50.0,50.0,50.0,50.0,4.0,52.03
51.84,50.0,50.0,50.0,50.0,1.0,51.84
51.84,50.0,50.0,50.0,50.0,2.0,51.9
51.84,50.0,50.0,50.0,50.0,3.0,52.03
51.84,50.0,50.0,50.0,50.0,4.0,52.16
51.9,50.0,50.0,50.0,50.0,1.0,51.9
51.9,50.0,50.0,50.0,50.0,2.0,52.03
51.9,50.0,50.0,50.0,50.0,3.0,52.16
51.9,50.0,50.0,50.0,50.0,4.0,52.16
52.03,50.0,50.0,50.0,50.0,1.0,52.03
52.03,50.0,50.0,50.0,50.0,2.0,52.16
52.03,50.0,50.0,50.0,50.0,3.0,52.16
52.03,50.0,50.0,50.0,50.0,4.0,52.16
52.16,50.0,50.0,50.0,50.0,1.0,52.16
52.16,50.0,50.0,50.0,50.0,2.0,52.16
52.16,50.0,50.0,50.0,50.0,3.0,52.16
52.16,50.0,50.0,50.0,50.0,4.0,52.19
52.16,50.0,50.0,50.0,50.0,1.0,52.16
52.16,50.0,50.0,50.0,50.0,2.0,52.16
52.16,50.0,50.0,50.0,50.0,3.0,52.19
52.16,50.0,50.0,50.0,50.0,4.0,52.32
52.16,50.0,50.0,50.0,50.0,1.0,52.16
52.16,50.0,50.0,50.0,50.0,2.0,52.19
52.16,50.0,50.0,50.0,50.0,3.0,52.32
52.16,50.0,50.0,50.0,50.0,4.0,52.38
52.19,50.0,50.0,50.0,50.0,1.0,52.19
52.19,50.0,50.0,50.0,50.0,2.0,52.32
52.19,50.0,50.0,50.0,50.0,3.0,52.38
52.19,50.0,50.0,50.0,50.0,4.0,52.48
52.32,50.0,50.0,50.0,50.0,1.0,52.32
52.32,50.0,50.0,50.0,50.0,2.0,52.38
52.32,50.0,50.0,50.0,50.0,3.0,52.48
52.32,50.0,50.0,50.0,50.0,4.0,52.48
52.38,50.0,50.0,50.0,50.0,1.0,52.38
52.38,50.0,50.0,50.0,50.0,2.0,52.48
52.38,50.0,50.0,50.0,50.0,3.0,52.48
52.38,50.0,50.0,50.0,50.0,4.0,52.48
52.48,50.0,50.0,50.0,50.0,1.0,52.48
52.48,50.0,50.0,50.0,50.0,2.0,52.48
52.48,50.0,50.0,50.0,50.0,3.0,52.48
52.48,50.0,50.0,50.0,50.0,4.0,52.48
52.48,50.0,50.0,50.0,50.0,1.0,52.48
52.48,50.0,50.0,50.0,50.0,2.0,52.48
52.48,50.0,50.0,50.0,50.0,3.0,52.48
52.48,50.0,50.0,50.0,50.0,4.0,52.61
